url,temp_downloaded,user_decision,temp_path,final_path
https://images.unsplash.com/photo-1584455145637-f73a5b58f47f?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTk2fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_40.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_41.jpg
https://images.unsplash.com/photo-1651081078802-160fe834c284?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NTI4fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_41.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_42.jpg
https://images.unsplash.com/photo-1547737145-7feaa0025d32?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzI4fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_42.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_43.jpg
https://images.unsplash.com/photo-1477586957327-847a0f3f4fe3?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8OTJ8fGluZGlhfGVufDB8fDB8fHww,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_43.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_44.jpg
https://images.unsplash.com/profile-1581844109071-2d739c885683image?w=32&dpr=2&crop=faces&bg=%23fff&h=32&auto=format&fit=crop&q=60&ixlib=rb-4.1.0,discarded,auto_skipped,,
https://images.unsplash.com/photo-1560633265-4cb212654bde?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzQwfHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_45.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_46.jpg
https://images.unsplash.com/profile-fb-1556913958-ab70f401e998.jpg?w=32&dpr=2&crop=faces&bg=%23fff&h=32&auto=format&fit=crop&q=60&ixlib=rb-4.1.0,discarded,auto_skipped,,
https://images.unsplash.com/photo-1510765355166-88d0a7dd8d6c?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NTV8fGluZGlhfGVufDB8fDB8fHww,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_47.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_48.jpg
https://images.unsplash.com/profile-1724211372714-6151b0c2e3c1image?w=32&dpr=2&crop=faces&bg=%23fff&h=32&auto=format&fit=crop&q=60&ixlib=rb-4.1.0,discarded,auto_skipped,,
https://images.unsplash.com/photo-1597220397294-0d95abb2031c?w=2000&auto=format&fit=crop&q=60&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzE0fHxpbmRpYXxlbnwwfHwwfHx8MA%3D%3D,yes,accepted,/Volumes/hard-drive/miscellaneous-files/website-interactions/temp_images/temp_image_49.jpg,/Volumes/hard-drive/miscellaneous-files/website-interactions/test/image_50.jpg
